lambda,x,rho,type,x0,x1
1.1,-0.4029029,0.8787352,free,,
1.1,-0.3778779,0.87157243,free,,
1.1,-0.35285285,0.8630164,free,,
1.1,-0.3228228,0.85134894,free,,
1.1,-0.25275275,0.82019776,free,,
1.1,-0.16766767,0.77844673,free,,
1.1,0.04754755,0.66864294,free,,
1.1,0.17267267,0.6058795,free,,
1.1,0.6231231,0.38565692,free,,
1.1,0.7232232,0.3343184,free,,
1.1,0.8033033,0.29072908,free,,
1.1,0.8733734,0.24944654,free,,
1.1,0.9284284,0.213648,free,,
1.1,0.9534535,0.19589919,free,,
1.1,0.9784785,0.17684928,free,,
1.1,0.9984985,0.16037865,free,,
1.1,1.0185186,0.14244334,free,,
1.1,1.0385386,0.1224975,free,,
1.1,1.0535536,0.105688445,free,,
1.1,1.0685686,0.08659159,free,,
1.1,1.0785786,0.07202971,free,,
1.1,1.0885886,0.055158086,free,,
1.1,1.0985986,0.03340673,free,,
1.1,1.1086086,3.5928315e-7,free,,
1.1,2.5,5.721499e-9,free,,
1.1,-0.9057971,0.0,emp,-0.9057971,-0.8333333
1.1,-0.8333333,0.001035,emp,-0.8333333,-0.76086956
1.1,-0.76086956,0.04692,emp,-0.76086956,-0.6884058
1.1,-0.6884058,0.57822,emp,-0.6884058,-0.615942
1.1,-0.615942,0.823515,emp,-0.615942,-0.54347825
1.1,-0.54347825,0.870435,emp,-0.54347825,-0.4710145
1.1,-0.4710145,0.89355,emp,-0.4710145,-0.39855072
